Source IP,Destination IP,Source Port,Destination Port,First Data Exchange,Last Data Exchange,Bytes Exchanged,Protocols
204.79.197.200,192.168.122.49,443,63217,2022-11-16 09:09:33,2022-11-16 09:09:33,8054,TCP;IPv4;TLS
192.168.122.49,151.21.209.70,63202,443,2022-11-16 09:09:31,2022-11-16 09:09:32,1583,TLS;IPv4;TCP
204.79.197.203,192.168.122.49,443,63197,2022-11-16 09:09:21,2022-11-16 09:09:21,7757,TLS;IPv4;TCP
192.168.122.49,20.54.36.229,49427,443,2022-11-16 09:09:30,2022-11-16 09:09:31,209,TLS;TCP;IPv4
140.82.112.22,192.168.122.49,443,63172,2022-11-16 09:09:19,2022-11-16 09:09:19,790,IPv4;TCP;TLS
192.168.122.49,204.79.197.203,63197,443,2022-11-16 09:09:21,2022-11-16 09:09:21,1653,TLS;TCP;IPv4
20.190.159.99,192.168.122.49,443,63219,2022-11-16 09:09:33,2022-11-16 09:09:33,9725,TLS;TCP;IPv4
192.168.122.49,185.199.109.133,63161,443,2022-11-16 09:09:19,2022-11-16 09:09:19,275,TLS;TCP;IPv4
192.168.122.49,140.82.121.6,63162,443,2022-11-16 09:09:23,2022-11-16 09:09:26,2191,TLS;IPv4;TCP
20.54.36.229,192.168.122.49,443,49427,2022-11-16 09:09:31,2022-11-16 09:09:31,225,TCP;TLS;IPv4
151.21.209.235,192.168.122.49,443,63216,2022-11-16 09:09:33,2022-11-16 09:09:33,374,IPv4;TCP;TLS
192.168.122.49,8.8.8.8,60862,53,2022-11-16 09:09:18,2022-11-16 09:09:31,851,DNS;IPv4;UDP
192.168.122.49,13.107.42.16,63174,443,2022-11-16 09:09:37,2022-11-16 09:09:37,55,TCP;IPv4
13.107.42.12,192.168.122.49,443,63214,2022-11-16 09:09:32,2022-11-16 09:09:33,441328,IPv4;TLS;TCP
192.168.122.49,140.82.121.3,63160,443,2022-11-16 09:09:18,2022-11-16 09:09:21,4371,TCP;IPv4;TLS
185.199.109.133,192.168.122.49,443,63161,2022-11-16 09:09:19,2022-11-16 09:09:19,1777,IPv4;TCP;TLS

